branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,compactions,estimated_cost_usd
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-10,369,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-11,316,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-12,134,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-13,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-14,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-15,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-16,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-17,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-18,120,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-19,121,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-2,730,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-20,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-21,191,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-22,244,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-23,39,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-24,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-25,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-26,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-27,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-28,87,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-29,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-3,429,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-30,170,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-31,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-32,58,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-33,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-34,159,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-35,39,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-36,31,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-37,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-38,120,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-39,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-4,14,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-40,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-41,39,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-42,64,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-43,33,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-44,35,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-45,687,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-46,284,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-47,143,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-5,488,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-6,917,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-7,500,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-8,454,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-9,285,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-0,953,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-1,834,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-10,568,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-11,109,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-12,100,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-13,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-14,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-15,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-16,131,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-17,214,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-18,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-19,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-2,471,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-20,188,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-21,57,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-22,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-23,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-24,267,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-25,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-26,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-27,64,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-28,56,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-29,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-3,808,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-30,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-31,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-32,33,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-33,112,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-34,108,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-35,102,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-36,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-37,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-38,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-39,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-4,90,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-40,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-41,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-42,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-43,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-44,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-45,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-46,135,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-47,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-48,71,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-5,1347,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-6,235,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-7,48,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-8,83,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-2-brief-9,534,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-0,1229,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-1,932,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-10,173,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-11,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-12,166,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-13,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-14,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-15,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-16,116,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-17,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-18,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-19,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-2,329,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-20,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-21,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-22,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-23,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-24,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-25,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-26,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-27,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-28,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-29,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-3,796,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-30,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-31,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-32,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-33,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-34,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-35,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-36,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-37,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-38,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-39,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-4,610,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-40,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-41,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-42,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-43,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-44,401,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-45,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-46,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-47,222,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-48,147,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-49,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-5,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-50,34,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-51,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-52,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-53,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-54,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-6,556,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-7,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-8,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-3-brief-9,0,,,,,,,,,
